identifier	time_total_s	time_perevent_s
Reader:EventGenerator	0.07851	7.851e-06
Algorithm:ParticleSelector	0.01272	1.272e-06
Algorithm:FatrasSimulation	1.052	0.0001052
Algorithm:DigitizationAlgorithm	0.2964	2.964e-05
Algorithm:TruthSeedSelector	0.02066	2.066e-06
Algorithm:SpacePointMaker	0.06965	6.965e-06
Algorithm:SeedingAlgorithm	0.5335	5.335e-05
Algorithm:TrackParamsEstimationAlgorithm	0.2237	2.237e-05
Writer:RootParticleWriter	0.146	1.46e-05
Writer:RootParticleWriter	0.09773	9.773e-06
Writer:RootSimHitWriter	0.2443	2.443e-05
Writer:RootMeasurementWriter	0.4678	4.678e-05
Writer:TrackFinderPerformanceWriter	0.3345	3.345e-05
Writer:SeedingPerformanceWriter	0.05172	5.172e-06
Writer:RootTrackParameterWriter	0.5975	5.975e-05
Writer:RootSpacepointWriter	0.1199	1.199e-05
Writer:RootParticleWriter:endRun	0.1093	1.093e-05
Writer:RootParticleWriter:endRun	0.04447	4.447e-06
Writer:RootSimHitWriter:endRun	0.05557	5.557e-06
Writer:RootMeasurementWriter:endRun	0.1112	1.112e-05
Writer:TrackFinderPerformanceWriter:endRun	0.05561	5.561e-06
Writer:SeedingPerformanceWriter:endRun	0.01695	1.695e-06
Writer:RootTrackParameterWriter:endRun	0.06098	6.098e-06
Writer:RootSpacepointWriter:endRun	0.05556	5.556e-06
